name_ca,name_es,symb,Z,A,kind,nox,order_en_nm,apostrof,stem_ca,stem_es
Hidrogen,Hidrógeno,H,1,"1,008",no-metall,–1/+1,11,TRUE,Hidr,Hidr
Heli,Helio,He,2,"4,0026",gas noble,0,,TRUE,,
Liti,Litio,Li,3,"6,94",metall,+1,,FALSE,,
Beril·li,Berilio,Be,4,"9,0122",metall,+2,,FALSE,,
Bor,Boro,B,5,"10,81",metal·loide,+3,22,FALSE,Bor,Bor
Carboni,Carbono,C,6,"12,011",no-metall,–4/+2/+4,17,FALSE,Carb,Carb
Nitrogen,Nitrógeno,N,7,"14,007",no-metall,–3/+3/+5,12,FALSE,Nitr,Nitr
Oxigen,Oxígeno,O,8,"15,999",no-metall,–2,6,TRUE,-,-
Fluor,Flúor,F,9,"18,998",no-metall,–1,1,FALSE,Fluor,Fluor
Neó,Neón,Ne,10,"20,18",gas noble,0,,FALSE,,
Sodi,Sodio,Na,11,"22,99",metall,+1,,FALSE,,
Magnesi,Magnesio,Mg,12,"24,305",metall,+2,,FALSE,,
Alumini,Aluminio,Al,13,"26,982",metall,+3,23,TRUE,,
Silici,Silicio,Si,14,"28,085",metal·loide,–4/+4,18,FALSE,Silic,Silic
Fòsfor,Fósforo,P,15,"30,974",no-metall,–3/+3/+5,13,FALSE,Fosf,Fosf
Sofre,Azufre,S,16,"32,06",no-metall,–2/+2/+4/+6,7,FALSE,Sulf,Sulf
Clor,Cloro,Cl,17,"35,45",no-metall,–1/+1/+3/+5/+7,2,FALSE,Clor,Clor
Argó,Argón,Ar,18,"39,95",gas noble,0,,TRUE,,
Potassi,Potasio,K,19,"39,098",metall,+1,,FALSE,,
Calci,Calcio,Ca,20,"40,078",metall,+2,,FALSE,,
Escandi,Escandio,Sc,21,"44,956",metall,+3,,TRUE,,
Titani,Titanio,Ti,22,"47,867",metall,+3/+4,,FALSE,,
Vanadi,Vanadio,V,23,"50,942",metall,+2/+3/+4/+5,,FALSE,,
Crom,Cromo,Cr,24,"51,996",metall,+2/+3/+6,,FALSE,,
Manganès,Manganeso,Mn,25,"54,938",metall,+2/+3/+4/+6/+7,,FALSE,,
Ferro,Hierro,Fe,26,"55,845",metall,+2/+3,,FALSE,,
Cobalt,Cobalto,Co,27,"58,933",metall,+2/+3,,FALSE,,
Níquel,Níquel,Ni,28,"58,693",metall,+2/+3,,FALSE,,
Coure,Cobre,Cu,29,"63,546",metall,+1/+2,,FALSE,,
Zinc,Zinc / Cinc,Zn,30,"65,38",metall,+2,,FALSE,,
Gal·li,Galio,Ga,31,"69,723",metall,+3,24,FALSE,,
Germani,Germanio,Ge,32,"72,63",metal·loide,+2/+4,19,FALSE,Germ,Germ
Arsènic / Arseni,Arsénico,As,33,"74,922",metal·loide,–3/+3/+5,14,TRUE,Arsen,Arsen
Seleni,Selenio,Se,34,"78,971",no-metall,–2/+2/+4/+6,8,FALSE,Selen,Selen
Brom,Bromo,Br,35,"79,904",no-metall,–1/+1/+3/+5/+7,3,FALSE,Brom,Brom
Criptó,Kriptón,Kr,36,"83,798",gas noble,0,,FALSE,,
Rubidi,Rubidio,Rb,37,"85,468",metall,+1,,FALSE,,
Estronci,Estroncio,Sr,38,"87,62",metall,+2,,TRUE,,
Itri,Itrio,Y,39,"88,906",metall,+3,,TRUE,,
Zirconi,Circonio,Zr,40,"91,224",metall,+4,,FALSE,,
Niobi,Niobio,Nb,41,"92,906",metall,+3/+5,,FALSE,,
Molibdè,Molibdeno,Mo,42,"95,95",metall,+4/+5/+6,,FALSE,,
Tecneci,Tecnecio,Tc,43,-97,metall,+6/+7,,FALSE,,
Ruteni,Rutenio,Ru,44,"101,07",metall,+3/+4/+6,,FALSE,,
Rodi,Rodio,Rh,45,"102,91",metall,+1/+3/+4,,FALSE,,
Pal·ladi,Paladio,Pd,46,"106,42",metall,+2/+4,,FALSE,,
Plata / Argent,Plata,Ag,47,"107,87",metall,+1,,FALSE,,
Cadmi,Cadmio,Cd,48,"112,41",metall,+2,,FALSE,,
Indi,Indio,In,49,"114,82",metall,+3,25,TRUE,,
Estany,Estaño,Sn,50,"118,71",metall,+2/+4,20,TRUE,,
Antimoni,Antimonio,Sb,51,"121,76",metal·loide,–3/+3/+5,15,TRUE,Antimon,Antimon
Tel·luri / Tel·lur,Telurio,Te,52,"127,6",metal·loide,–2/+2/+4/+6,9,FALSE,Tel·lur,Telur
Iode,Yodo,I,53,"126,9",no-metall,–1/+1/+3/+5/+7,4,FALSE,Iod,Yod
Xenó,Xenón,Xe,54,"131,29",gas noble,0/+2/+4/+6,,FALSE,,
Cesi,Cesio,Cs,55,"132,91",metall,+1,,FALSE,,
Bari,Bario,Ba,56,"137,33",metall,+2,,FALSE,,
Lantani / Lantà,Lantano,La,57,"138,91",metall,+3,,FALSE,,
Ceri,Cerio,Ce,58,"140,12",metall,+3/+4,,FALSE,,
Praseodimi,Praseodimio,Pr,59,"140,91",metall,+3,,FALSE,,
Neodimi,Neodimio,Nd,60,"144,24",metall,+3,,FALSE,,
Prometi,Prometio,Pm,61,-145,metall,+3,,FALSE,,
Samari,Samario,Sm,62,"150,36",metall,+2/+3,,FALSE,,
Europi,Europio,Eu,63,"151,96",metall,+2/+3,,TRUE,,
Gadolini,Gadolinio,Gd,64,"157,25",metall,+3,,FALSE,,
Terbi,Terbio,Tb,65,"158,93",metall,+3,,FALSE,,
Disprosi,Disprosio,Dy,66,"162,5",metall,+3,,FALSE,,
Holmi,Holmio,Ho,67,"164,93",metall,+3,,TRUE,,
Erbi,Erbio,Er,68,"167,26",metall,+3,,TRUE,,
Tuli,Tulio,Tm,69,"168,93",metall,+3,,FALSE,,
Iterbi,Iterbio,Yb,70,"173,05",metall,+2/+3,,TRUE,,
Luteci,Lutecio,Lu,71,"174,97",metall,+3,,FALSE,,
Hafni,Hafnio,Hf,72,"178,49",metall,+4,,TRUE,,
Tàntal,Tántalo,Ta,73,"180,95",metall,+5,,FALSE,,
Tungstè / Wolframi,Wolframio,W,74,"183,84",metall,+4/+5/+6,,FALSE,,
Reni,Renio,Re,75,"186,21",metall,+4/+6/+7,,FALSE,,
Osmi,Osmio,Os,76,"190,23",metall,+4/+6/+8,,TRUE,,
Iridi,Iridio,Ir,77,"192,22",metall,+1/+3/+4,,TRUE,,
Platí,Platino,Pt,78,"195,08",metall,+2/+4,,FALSE,,
Or,Oro,Au,79,"196,97",metall,+1/+3,,TRUE,,
Mercuri,Mercurio,Hg,80,"200,59",metall,+1/+2,,FALSE,,
Tal·li,Talio,Tl,81,"204,38",metall,+1/+3,26,FALSE,,
Plom,Plomo,Pb,82,"207,2",metall,+2/+4,21,FALSE,,
Bismut,Bismuto,Bi,83,"208,98",metall,+3/+5,16,FALSE,,
Poloni,Polonio,Po,84,-209,metal·loide,+2/+4,10,FALSE,Polon,Polon
Àstat,Astato,At,85,-210,no-metall,–1/+1,5,FALSE,Astat,Astat
Radó,Radón,Rn,86,-222,gas noble,0,,FALSE,,
Franci,Francio,Fr,87,-223,metall,+1,,FALSE,,
Radi,Radio,Ra,88,-226,metall,+2,,FALSE,,
Actini,Actinio,Ac,89,-227,metall,+3,,TRUE,,
Tori,Torio,Th,90,"232,04",metall,+4,,FALSE,,
Protoactini,Protactinio,Pa,91,"231,04",metall,+3/+4/+5,,FALSE,,
Urani,Uranio,U,92,"238,03",metall,+3/+4/+5/+6,,TRUE,,
Neptuni,Neptunio,Np,93,-237,metall,+3/+4/+5,,FALSE,,
Plutoni,Plutonio,Pu,94,-244,metall,+3/+4/+5/+6,,FALSE,,
Americi,Americio,Am,95,-243,metall,+3/+4/+5/+6,,TRUE,,
Curi,Curio,Cm,96,-247,metall,+3,,FALSE,,
Berkeli,Berkelio,Bk,97,-247,metall,+3/+4,,FALSE,,
Californi,Californio,Cf,98,-251,metall,+3,,FALSE,,
Einsteini,Einstenio,Es,99,-252,metall,+3,,TRUE,,
Fermi,Fermio,Fm,100,-257,metall,+3,,FALSE,,
Mendelevi,Mendelevio,Md,101,-258,metall,+3,,FALSE,,
Nobeli,Nobelio,No,102,-259,metall,+3,,FALSE,,
Lawrenci,Lawrencio,Lr,103,-266,metall,+3,,FALSE,,
Rutherfordi,Rutherfordio,Rf,104,-267,metall,,,FALSE,,
Dubni,Dubnio,Db,105,-268,metall,,,FALSE,,
Seaborgi,Seaborgio,Sg,106,-269,metall,,,FALSE,,
Bohri,Bohrio,Bh,107,-278,metall,,,FALSE,,
Hassi,Hasio,Hs,108,-278,metall,,,TRUE,,
Meitneri,Meitnerio,Mt,109,-282,metall,,,FALSE,,
Darmstadti,Darmstatio,Ds,110,-282,metall,,,FALSE,,
Roentgeni,Roentgenio,Rg,111,-286,metall,,,FALSE,,
Copernici,Copernicio,Cn,112,-286,metall,,,FALSE,,
Nihoni,Nihonio,Nh,113,-286,metall,,,FALSE,,
